Geographic Area						
						
.Alabama	April 1, 2010		Population Estimate (as of July 1)			
.Alaska	Census	Estimates Base	2010	2011	2012	2013
.Arizona	308745538	308747716	309326295	311582564	313873685	316128839
.Arkansas	55317240	55317261	55376322	55598499	55771792	55943073
.California	66927001	66927549	66976321	67146663	67321425	67547890
.Colorado	114555744	114557273	114857899	116032322	117253992	118383453
.Connecticut	71945553	71945633	72115753	72805080	73526476	74254423
.Delaware	4779736	4779758	4785570	4801627	4817528	4833722
.District of Columbia	710231	710231	713868	723375	730307	735132
.Florida	6392017	6392015	6408790	6468796	6551149	6626624
.Georgia	2915918	2915916	2922280	2938506	2949828	2959373
.Hawaii	37253956	37253959	37333601	37668681	37999878	38332521
.Idaho	5029196	5029196	5048196	5118400	5189458	5268367
.Illinois	3574097	3574097	3579210	3588948	3591765	3596080
.Indiana	897934	897936	899711	907985	917053	925749
.Iowa	601723	601767	605125	619624	633427	646449
.Kansas	18801310	18802690	18846054	19083482	19320749	19552860
.Kentucky	9687653	9687663	9713248	9810181	9915646	9992167
.Louisiana	1360301	1360301	1363731	1376897	1390090	1404054
.Maine	1567582	1567652	1570718	1583930	1595590	1612136
.Maryland	12830632	12830632	12839695	12855970	12868192	12882135
.Massachusetts	6483802	6483797	6489965	6516336	6537782	6570902
.Michigan	3046355	3046857	3050314	3064102	3075039	3090416
.Minnesota	2853118	2853116	2858910	2869548	2885398	2893957
.Mississippi	4339367	4339357	4347698	4366869	4379730	4395295
.Missouri	4533372	4533372	4545392	4575197	4602134	4625470
.Montana	1328361	1328361	1327366	1327844	1328501	1328302
.Nebraska	5773552	5773623	5787193	5840241	5884868	5928814
.Nevada	6547629	6547629	6563263	6606285	6645303	6692824
.New Hampshire	9883640	9883701	9876149	9874589	9882519	9895622
.New Jersey	5303925	5303925	5310337	5347108	5379646	5420380
.New Mexico	2967297	2967299	2970047	2977886	2986450	2991207
.New York	5988927	5988923	5996063	6010065	6024522	6044171
.North Carolina	989415	989417	990527	997600	1005494	1015165
.North Dakota	1826341	1826341	1829838	1841749	1855350	1868516
.Ohio	2700551	2700552	2703230	2717951	2754354	2790136
.Oklahoma	1316470	1316469	1316614	1318075	1321617	1323459
.Oregon	8791894	8791909	8802707	8836639	8867749	8899339
.Pennsylvania	2059179	2059183	2064982	2077919	2083540	2085287
.Rhode Island	19378102	19378105	19398228	19502728	19576125	19651127
.South Carolina	9535483	9535471	9559533	9651377	9748364	9848060
.South Dakota	672591	672591	674344	684867	701345	723393
.Tennessee	11536504	11536503	11545435	11549772	11553031	11570808
.Texas	3751351	3751357	3759263	3785534	3815780	3850568
.Utah	3831074	3831073	3837208	3867937	3899801	3930065
.Vermont	12702379	12702379	12710472	12741310	12764475	12773801
.Virginia	1052567	1052567	1052669	1050350	1050304	1051511
.Washington	4625364	4625360	4636361	4673509	4723417	4774839
.West Virginia	814180	814180	816211	823772	834047	844877
.Wisconsin	6346105	6346113	6356683	6398361	6454914	6495978
.Wyoming	25145561	25145561	25245178	25640909	26060796	26448193
	8001024	8001031	8024417	8105850	8186628	8260405
	6724540	6724543	6742256	6821481	6895318	6971406
	1852994	1852999	1854146	1855184	1856680	1854304
	5686986	5686983	5689060	5708785	5724554	5742713
	563626	563626	564222	567329	576626	582658
						
	3725789	3725789	3721208	3686580	3651545	3615086
